Number,Year,Title,Genre,Rated,Type,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbRating
3,1997,Character,6.333333333333333,6.561867935752528,6.0,122,8.0,8.0,7.75,6.75,6.5,23,8.0
7,1992,8 Man,6.0,7.084432717678101,6.0,83,5.0,5.0,5.0,7.0,7.0,0,5.0
12,1947,My Favorite Brunette,6.0,7.516129032258065,6.0,87,7.0,7.0,7.0,6.0,6.0,0,7.0
15,1988,Neil Diamond: Greatest Hits Live,7.0,7.084432717678101,6.0,60,9.0,8.75,8.5,6.0,6.0,0,9.0
17,2005,7 Seconds,6.0,6.561867935752528,6.0,96,5.0,5.0,5.25,6.0,6.5,0,5.0
18,1994,Immortal Beloved,7.0,6.561867935752528,6.0,121,7.5,7.0,7.25,6.0,6.5,1,8.0
19,2000,By Dawn's Early Light,6.5,7.084432717678101,6.0,100,6.0,6.0,6.5,6.0,6.0,1,7.0
20,1972,Seeta Aur Geeta,6.333333333333333,7.084432717678101,6.0,162,8.0,7.333333333333333,7.5,7.0,7.0,1,7.0
22,2000,Chump Change,6.5,6.561867935752528,6.0,89,6.0,6.0,5.75,6.0,6.0,6,6.0
24,1981,My Bloody Valentine,5.666666666666667,6.561867935752528,6.0,90,7.0,7.0,7.0,6.0,6.0,0,7.0
26,2004,Never Die Alone,6.333333333333333,6.561867935752528,6.0,88,6.5,6.0,6.0,6.0,6.0,1,6.0
29,2001,Boycott,7.0,6.75021682567216,6.0,118,7.0,8.0,7.25,6.0,6.0,15,8.0
30,2003,Something's Gotta Give,6.666666666666667,6.6177194421657095,6.0,128,7.0,6.0,7.0,6.5,6.0,20,7.0
37,1973,Zatoichi's Conspiracy,6.5,7.566810344827586,6.0,88,8.0,8.0,7.75,7.0,7.0,1,8.0
42,2002,Searching for Paradise,7.0,6.561867935752528,6.0,88,6.0,6.0,6.0,6.0,6.0,3,6.0
44,1996,Spitfire Grill,7.0,6.6177194421657095,6.0,117,7.0,7.0,6.25,6.0,6.0,3,7.0
45,1999,The Love Letter,6.666666666666667,6.6177194421657095,6.0,88,7.5,6.0,6.25,6.0,6.0,1,6.0
46,1964,Rudolph the Red-Nosed Reindeer,6.333333333333333,7.388888888888889,6.0,47,9.0,9.0,8.25,6.0,6.5,0,9.0
47,1952,The Bad and the Beautiful,7.0,7.14540059347181,6.0,118,7.5,7.5,7.25,6.0,6.0,14,8.0
50,1941,A Yank in the R.A.F.,6.333333333333333,7.566810344827586,6.0,98,7.285714285714286,7.0,7.0,6.0,6.0,0,7.0
53,2003,The Bonesetter,5.5,7.566810344827586,6.0,72,3.0,3.0,3.5,6.0,6.0,0,3.0
