Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
3,1997,Character,"Crime, Drama, Mystery",R,movie,7.8,122 min,Mike van Diem,"Ferdinand Bordewijk (short story ""Dreverhaven en Katadreuffe"" and novel ""Karakter""), Laurens Geels (screenplay), Mike van Diem (screenplay), Ruud van Megen (screenplay)","Jan Decleir, Fedja van Huêt, Betty Schuurman, Tamar van den Dop","Dutch, English, German, French","Netherlands, Belgium",Won 1 Oscar. Another 16 wins & 6 nominations.,"9,203",tt0119448
7,1992,8 Man,"Action, Sci-Fi",N/A,movie,5,83 min,Yasuhiro Horiuchi,"Kazumasa Hirai (comic-book), Jirô Kuwata (comic-book)","Sachiko Ayase, Mickey Curtis, Tadao Nakamaru, Osamu Ohtomo",Japanese,Japan,0,50,tt0182668
12,1947,My Favorite Brunette,"Comedy, Crime, Mystery",APPROVED,movie,6.9,87 min,Elliott Nugent,"Edmund Beloin (original screenplay), Jack Rose (original screenplay)","Bob Hope, Dorothy Lamour, Peter Lorre, Lon Chaney Jr.",English,USA,0,"2,151",tt0039645
15,1988,Neil Diamond: Greatest Hits Live,"Documentary, Music",N/A,movie,8.1,60 min,"Dwight Hemion, Peter Israelson","Kenny Solms (writing supervisor), Ann Elder, Toem Perew, Gary Smith","Neil Diamond, Richard Bennett, Vince Charles, King Errisson",English,USA,0,68,tt0168093
17,2005,7 Seconds,"Action, Comedy, Crime",R,movie,4.8,96 min,Simon Fellows,Martin Wheeler,"Wesley Snipes, Tamzin Outhwaite, Deobia Oparei, Georgina Rylance",English,"UK, Romania, Switzerland, USA",0,"6,026",tt0417395
18,1994,Immortal Beloved,"Biography, Drama, Music",R,movie,7.5,121 min,Bernard Rose,Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini, Johanna ter Steege",English,"UK, USA",1 nomination.,"18,828",tt0110116
19,2000,By Dawn's Early Light,"Comedy, Drama",N/A,movie,6.7,100 min,Arthur Allan Seidelman,"Jacqueline Feather, David Seidler","Richard Crenna, David Carradine, Chris Olivero, Patrick David",English,USA,1 nomination.,337,tt0247232
20,1972,Seeta Aur Geeta,"Comedy, Drama, Family",N/A,movie,6.9,162 min,Ramesh Sippy,"Javed Akhtar (dialogue), Javed Akhtar (screenplay), Satish Bhatnagar (screenplay), Satish Bhatnagar (story), Salim Khan (dialogue), Salim Khan (screenplay)","Dharmendra, Sanjeev Kumar, Hema Malini, Manorama",Hindi,India,1 win.,"1,098",tt0078222
22,2000,Chump Change,"Comedy, Romance",R,movie,6,89 min,Stephen Burrows,Stephen Burrows,"Stephen Burrows, Tim Matheson, Traci Lords, A.J. Benza",English,USA,6 wins.,340,tt0208050
24,1981,My Bloody Valentine,"Horror, Mystery, Thriller",R,movie,6.2,90 min,George Mihalka,"Stephen A. Miller (story concept), John Beaird","Paul Kelman, Lori Hallier, Neil Affleck, Keith Knight",English,Canada,0,"12,492",tt0082782
26,2004,Never Die Alone,"Action, Crime, Drama",R,movie,5.7,88 min,Ernest R. Dickerson,"Donald Goines (novel), James Gibson (screenplay)","DMX, Michael Ealy, Drew Sidora, Antwon Tanner",English,USA,1 nomination.,"4,834",tt0354766
29,2001,Boycott,Drama,PG,movie,7.3,118 min,Clark Johnson,"Stewart Burns (book), Herman Daniel Farrell (teleplay), Timothy J. Sexton (teleplay)","Jeffrey Wright, Terrence Howard, CCH Pounder, Carmen Ejogo",English,USA,5 wins & 10 nominations.,656,tt0255851
30,2003,Something's Gotta Give,"Comedy, Drama, Romance",PG-13,movie,6.7,128 min,Nancy Meyers,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand","English, French",USA,Nominated for 1 Oscar. Another 7 wins & 12 nominations.,"91,761",tt0337741
37,1973,Zatoichi's Conspiracy,"Action, Drama",NOT RATED,movie,7.3,88 min,Kimiyoshi Yasuda,"Yoshi Hattori (screenplay), Kan Shimozawa (story)","Shintarô Katsu, Yukiyo Toake, Eiji Okada, Kei Satô",Japanese,Japan,1 nomination.,544,tt0072439
42,2002,Searching for Paradise,Drama,R,movie,5.9,88 min,Myra Paci,Myra Paci,"Susan May Pratt, Chris Noth, Jeremy Davies, John Pierson",English,USA,2 wins & 1 nomination.,172,tt0217787
44,1996,Spitfire Grill,Drama,PG-13,movie,6.9,117 min,Lee David Zlotoff,Lee David Zlotoff,"Alison Elliott, Ellen Burstyn, Marcia Gay Harden, Will Patton",English,USA,3 wins.,"4,862",tt0117718
45,1999,The Love Letter,"Comedy, Drama, Romance",PG-13,movie,5.4,88 min,Peter Ho-Sun Chan,"Cathleen Schine (novel), Maria Maggenti (screenplay)","Kate Capshaw, Blythe Danner, Ellen DeGeneres, Julianne Nicholson",English,USA,1 nomination.,"3,555",tt0166252
46,1964,Rudolph the Red-Nosed Reindeer,"Animation, Adventure, Comedy",TV-G,movie,8.1,47 min,Larry Roemer,"Romeo Muller, Robert May (story), Johnny Marks (song)","Burl Ives, Billie Mae Richards, Paul Soles, Larry D. Mann",English,"USA, Japan",0,"17,301",tt0058536
