Number,Year,Title,Genre,Rated,Type,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbRating,NetflixRating
187,2002.0,Death to Smoochy,3.2390512157954023,3.2211538461538463,4.0,109,2.0,2.0,2.1666666666666665,3.2925764192139737,3.364705882352941,2,7,2.0
273,2004.0,Taxi,3.191083824886642,3.3125,4.0,97,4.5,4.0,3.875,3.1856975160820773,3.416289592760181,8,5,4.0
353,2002.0,Life or Something Like It,3.2019230769230766,3.3125,4.0,103,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,6,3.0
413,2002.0,Igby Goes Down,3.2474657125819917,3.2211538461538463,4.0,98,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,24,7,4.0
457,2004.0,Kill Bill: Vol. 2,3.2534968640438673,3.2211538461538463,4.0,137,3.0,3.0,3.0,3.1726064703948915,3.2941176470588234,95,8,3.0
483,2001.0,Rush Hour 2,3.191083824886642,3.3125,4.0,90,3.0,3.0,2.9166666666666665,3.208636584182436,3.1470588235294117,31,7,3.0
495,2000.0,Mission Kashmir,3.3649870801033592,3.2211538461538463,4.0,154,3.0,3.0,3.0,3.097525473071325,3.0,28,7,3.0
563,2001.0,Jimmy Neutron: Boy Genius,3.39906103286385,4.0,4.0,82,3.0,3.0952380952380953,3.0,3.2925764192139737,3.2941176470588234,6,6,3.0
571,1999.0,American Beauty,3.295542635658915,3.2211538461538463,4.0,122,4.0,4.0,3.7916666666666665,3.2925764192139737,3.2941176470588234,204,9,4.0
746,2001.0,Domestic Disturbance,3.2467144563918757,3.3125,4.0,89,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,4,6,4.0
862,2002.0,Tuck Everlasting,3.402156628900815,3.4444444444444446,4.0,90,4.0,4.0,3.75,3.3129548762736536,3.2941176470588234,4,7,4.0
962,2002.0,I Spy,3.2503430841459013,3.3125,4.0,97,3.0,3.0,3.0,3.2641921397379914,3.2941176470588234,7,6,3.0
1068,1998.0,Ringu,3.2424409521183715,2.0,4.0,96,3.0,3.25,3.0,3.4,3.4,7,8,3.0
1073,2005.0,Coach Carter,3.3705426356589148,3.3125,4.0,136,4.0,4.0,3.8333333333333335,3.2925764192139737,3.3595588235294116,18,8,4.0
1110,2003.0,Secondhand Lions,3.370105346849533,3.4444444444444446,4.0,109,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,6,8,3.0
1138,2003.0,Freddy vs. Jason,3.3435054773082946,3.2211538461538463,4.0,97,2.0,2.0,2.0,3.2925764192139737,3.298039215686275,9,6,2.0
1176,2001.0,The Devil's Backbone,3.2618432385874248,3.2211538461538463,4.0,106,2.5,2.0,2.0,3.064516129032258,2.3846153846153846,13,8,2.0
