Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID,NetflixRating
187,2002.0,Death to Smoochy,"Comedy, Crime, Drama",R,movie,6.4,109 min,Danny DeVito,Adam Resnick,"Robin Williams, Edward Norton, Catherine Keener, Danny DeVito",English,"UK, Germany, USA",2 nominations.,"34,824",tt0266452,2.0
273,2004.0,Taxi,"Action, Comedy, Crime",PG-13,movie,4.4,97 min,Tim Story,"Luc Besson (earlier screenplay), Robert Ben Garant (screenplay), Thomas Lennon (screenplay), Jim Kouf (screenplay)","Queen Latifah, Jimmy Fallon, Henry Simmons, Jennifer Esposito","English, Portuguese, Spanish","USA, France",2 wins & 6 nominations.,"33,247",tt0316732,4.0
353,2002.0,Life or Something Like It,"Comedy, Romance",PG-13,movie,5.8,103 min,Stephen Herek,"John Scott Shepherd (story), John Scott Shepherd (screenplay), Dana Stevens (screenplay)","Angelina Jolie, Edward Burns, Tony Shalhoub, Christian Kane",English,USA,1 nomination.,"19,485",tt0282687,3.0
413,2002.0,Igby Goes Down,"Comedy, Drama",R,movie,7.0,98 min,Burr Steers,Burr Steers,"Kieran Culkin, Claire Danes, Jeff Goldblum, Jared Harris",English,USA,Nominated for 2 Golden Globes. Another 7 wins & 15 nominations.,"29,220",tt0280760,4.0
457,2004.0,Kill Bill: Vol. 2,"Action, Crime, Drama",R,movie,8.0,137 min,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)","Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks","English, Cantonese, Mandarin, Spanish",USA,Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,"518,936",tt0378194,3.0
483,2001.0,Rush Hour 2,"Action, Comedy, Crime",PG-13,movie,6.6,90 min,Brett Ratner,"Ross LaManna (characters), Jeff Nathanson","Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang","English, Mandarin, Cantonese","USA, Hong Kong",10 wins & 21 nominations.,"162,056",tt0266915,3.0
495,2000.0,Mission Kashmir,"Drama, Thriller",R,movie,6.8,154 min,Vidhu Vinod Chopra,"Vikram Chandra (story), Vidhu Vinod Chopra (story), Abhijat Joshi (screenplay), Abhijat Joshi (story), Suketu Mehta (screenplay), Suketu Mehta (story), Atul Tiwari (dialogue)","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Sonali Kulkarni","Hindi, Urdu, English",India,8 wins & 20 nominations.,"4,727",tt0248185,3.0
563,2001.0,Jimmy Neutron: Boy Genius,"Animation, Action, Adventure",G,movie,6.0,82 min,John A. Davis,"John A. Davis (story), Steve Oedekerk (story), John A. Davis (screenplay), David N. Weiss (screenplay), J. David Stem (screenplay), Steve Oedekerk (screenplay), Dan Schneider (contributing writer)","Megan Cavanagh, Mark DeCarlo, Debi Derryberry, Jeffrey Garcia",English,USA,Nominated for 1 Oscar. Another 5 nominations.,"24,286",tt0268397,3.0
571,1999.0,American Beauty,"Drama, Romance",R,movie,8.4,122 min,Sam Mendes,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",English,USA,Won 5 Oscars. Another 103 wins & 96 nominations.,"833,800",tt0169547,4.0
746,2001.0,Domestic Disturbance,"Crime, Mystery, Thriller",PG-13,movie,5.5,89 min,Harold Becker,"Lewis Colick (story), William S. Comanor (story), Gary Drucker (story), Lewis Colick (screenplay)","John Travolta, James Lashly, Rebecca Tilney, Debra Mooney",English,USA,1 win & 3 nominations.,"21,346",tt0249478,4.0
862,2002.0,Tuck Everlasting,"Drama, Romance, Family",PG,movie,6.7,90 min,Jay Russell,"Natalie Babbitt (novel), Jeffrey Lieber (screenplay), James V. Hart (screenplay)","Alexis Bledel, William Hurt, Sissy Spacek, Jonathan Jackson","English, French",USA,1 win & 3 nominations.,"18,162",tt0283084,4.0
962,2002.0,I Spy,"Action, Adventure, Comedy",PG-13,movie,5.4,97 min,Betty Thomas,"Morton S. Fine (characters), David Friedkin (characters), Marianne Wibberley (story), Cormac Wibberley (story), Marianne Wibberley (screenplay), Cormac Wibberley (screenplay), Jay Scherick (screenplay), David Ronn (screenplay)","Eddie Murphy, Owen Wilson, Famke Janssen, Malcolm McDowell","English, Hungarian, Russian",USA,2 wins & 5 nominations.,"41,966",tt0297181,3.0
1068,1998.0,Ringu,"Horror, Mystery, Sci-Fi",UNRATED,movie,7.3,96 min,Hideo Nakata,"Hiroshi Takahashi (screenplay), Kôji Suzuki (novel)","Nanako Matsushima, Miki Nakatani, Yûko Takeuchi, Hitomi Satô",Japanese,Japan,6 wins & 1 nomination.,"51,091",tt0178868,3.0
1073,2005.0,Coach Carter,"Drama, Sport",PG-13,movie,7.2,136 min,Thomas Carter,"Mark Schwahn, John Gatins","Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez",English,"USA, Germany",3 wins & 15 nominations.,"93,228",tt0393162,4.0
1110,2003.0,Secondhand Lions,"Comedy, Drama, Family",PG,movie,7.6,109 min,Tim McCanlies,Tim McCanlies,"Michael Caine, Robert Duvall, Haley Joel Osment, Kyra Sedgwick",English,USA,6 nominations.,"43,550",tt0327137,3.0
1138,2003.0,Freddy vs. Jason,"Action, Horror, Thriller",R,movie,5.8,97 min,Ronny Yu,"Wes Craven (characters), Victor Miller (characters), Damian Shannon, Mark Swift","Robert Englund, Ken Kirzinger, Monica Keena, Jason Ritter",English,"USA, Canada, Italy",2 wins & 7 nominations.,"89,810",tt0329101,2.0
1176,2001.0,The Devil's Backbone,"Drama, Fantasy, Horror",R,movie,7.5,106 min,Guillermo del Toro,"Guillermo del Toro, Antonio Trashorras, David Muñoz","Marisa Paredes, Eduardo Noriega, Federico Luppi, Fernando Tielve",Spanish,"Spain, Mexico, France, Argentina",6 wins & 7 nominations.,"48,051",tt0256009,2.0
